Name of Clinic,Address,Email,Phone,Services
My FootDr Doncaster,"755 Doncaster Road, Doncaster VIC 3108",doncaster@myfootdr.com.au,03 9848 1611,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Frankston,"Shop 1A, 28 Playne Street, Frankston VIC 3199",frankston@myfootdr.com.au,03 9781 2233,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Geelong,"Shop 3A, 276-280 Moorabool Street, Geelong VIC 3220",geelong@myfootdr.com.au,03 5229 3999,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Hawthorn,"633 Glenferrie Road, Hawthorn VIC 3122",hawthorn@myfootdr.com.au,03 9819 6100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Knox,"Shop 1038, Westfield Knox, 425 Burwood Highway, Wantirna South VIC 3152",knox@myfootdr.com.au,03 9761 3200,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Melbourne CBD,"Level 2, 247 Collins Street, Melbourne VIC 3000",melbournecbd@myfootdr.com.au,03 9654 3233,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Moonee Ponds,"Shop 79, Moonee Ponds Central, 14 Hall Street, Moonee Ponds VIC 3039",mooneeponds@myfootdr.com.au,03 9375 2666,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Ringwood,"Shop 1024, Eastland Shopping Centre, 175 Maroondah Highway, Ringwood VIC 3134",ringwood@myfootdr.com.au,03 9870 8466,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Werribee,"Shop 30, Pacific Werribee, Heaths Road, Werribee VIC 3030",werribee@myfootdr.com.au,03 9741 1922,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Applecross,"Shop 3, 7-9 Riseley Street, Applecross WA 6153",applecross@myfootdr.com.au,08 9316 8700,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Baldivis,"Shop 26, Stockland Baldivis, 243 Baldivis Road, Baldivis WA 6171",baldivis@myfootdr.com.au,08 9523 0029,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Bunbury,"3/8 Clifford Street, Bunbury WA 6230",bunbury@myfootdr.com.au,08 9791 4500,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Cannington,"Shop 25-26, Westfield Carousel, 1382 Albany Highway, Cannington WA 6107",cannington@myfootdr.com.au,08 9351 8388,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Joondalup,"Shop 1129, Lakeside Joondalup, 420 Joondalup Drive, Joondalup WA 6027",joondalup@myfootdr.com.au,08 9301 2400,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Mandurah,"Shop 36, Mandurah Forum, 330 Pinjarra Road, Mandurah WA 6210",mandurah@myfootdr.com.au,08 9535 2000,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Morley,"Shop 1079, Galleria Shopping Centre, 72 Collier Road, Morley WA 6062",morley@myfootdr.com.au,08 9375 6100,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
My FootDr Perth CBD,"Level 1, 37 St Georges Terrace, Perth WA 6000",perthcbd@myfootdr.com.au,08 9321 3377,"Clinical Podiatry, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, NDIS, CAM Walker (Moon Boot)"
