Name of Clinic,Address,Email,Phone,Services
My FootDr Ballarat,"420 Sturt Street, Ballarat Central VIC 3350",ballarat@myfootdr.com.au,03 5333 4422,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Resources, Footwear"
Border Podiatry Wodonga,"140 High Street, Wodonga VIC 3690",wodonga@borderpodiatry.com.au,02 6056 8033,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Resources"
My FootDr Boronia,"Shop 1004, Boronia Mall, 50 Dorset Square, Boronia VIC 3155",boronia@myfootdr.com.au,03 9762 1700,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
My FootDr Cranbourne,"Shop 2073, Cranbourne Park Shopping Centre, South Gippsland Highway, Cranbourne VIC 3977",cranbourne@myfootdr.com.au,03 5995 1133,"Clinical Podiatry, Health Funds, Diabetes and Footcare, National Disability Insurance Scheme (NDIS)"
My FootDr Pakenham,"Shop 6, 3-7 Henry Street, Pakenham VIC 3810",pakenham@myfootdr.com.au,03 5941 3100,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
The Foot and Ankle Clinic Moe,"8 Lloyd Street, Moe VIC 3825",moe@thefootandankleclinic.com.au,03 5127 1323,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
The Foot and Ankle Clinic Podiatry Chadstone,"Shop P12, Chadstone Shopping Centre, 1341 Dandenong Road, Chadstone VIC 3148",chadstone@thefootandankleclinic.com.au,03 9568 5888,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
The Foot and Ankle Clinic Podiatry East Bentleigh,"777 Centre Road, East Bentleigh VIC 3165",eastbentleigh@thefootandankleclinic.com.au,03 9579 1555,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
The Foot and Ankle Clinic Sale,"Shop 12, Gippsland Centre, Cunningham Street, Sale VIC 3850",sale@thefootandankleclinic.com.au,03 5144 6122,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources"
The Foot and Ankle Clinic Traralgon,"Shop 26, Traralgon Centre, Seymour Street, Traralgon VIC 3844",traralgon@thefootandankleclinic.com.au,03 5174 8494,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, SWIFT Microwave Wart Therapy, Resources"
My FootDr Wantirna,"Knox Ozone, Shop 21, 425 Burwood Highway, Wantirna South VIC 3152",wantirna@myfootdr.com.au,03 9800 4855,"Bracenfix™ - Ingrown Toenail Treatment, Supramalleolar Orthotics (SMOs), Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cam Walker - (Moon Boot), Cryotherapy For Plantar Warts, Resources, Ankle-Foot Orthoses, Richie Brace"
My FootDr Warragul,"Shop 8, 10 Contingent Street, Warragul VIC 3820",warragul@myfootdr.com.au,03 5622 2500,"Bracenfix™ - Ingrown Toenail Treatment, Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, Custom Footwear, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Shockwave Therapy, Footwear, Paraffin Wax Bath Treatment, SWIFT Microwave Wart Therapy, Resources"
BIM Podiatry Balcatta,"Unit 4, 19 Erindale Road, Balcatta WA 6021",balcatta@backinmotion.com.au,08 9344 5483,None Listed
Back In Motion Podiatry Como,"Unit 1, 11 Preston Street, Como WA 6152",como@backinmotion.com.au,08 9474 1113,"Clinical Podiatry, Shockwave Therapy"
My FootDr Currambine,"Unit 5, 5 Hobsons Gate, Currambine WA 6028",currambine@myfootdr.com.au,08 9305 8900,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Custom Footwear, Cryotherapy For Plantar Warts, Resources, Ankle-Foot Orthoses"
My FootDr Warwick,"Shop 63, Warwick Grove Shopping Centre, Warwick WA 6024",warwick@myfootdr.com.au,08 9246 4588,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), Custom Footwear, CAM Walker (Moon Boot), Footwear, Resources"
My FootDr Wembley Downs,"Shop 3, 389 Cambridge Street, Wembley Downs WA 6019",wembleydowns@myfootdr.com.au,08 9285 1855,"Clinical Podiatry, Health Funds, Custom Foot Orthotics, Video Gait Analysis, Fungal Nail Infection Laser Treatment, Diabetes and Footcare, National Disability Insurance Scheme (NDIS), CAM Walker (Moon Boot), Cosmetic Nail Restoration, Shockwave Therapy, Paraffin Wax Bath Treatment, Cryotherapy For Plantar Warts, Resources, Footwear"
